,Distance,Elevation Gain,Max Grade,Average Grade,Moving Time
86,43.83,2275.0,13.399999618530272,4.71513032913208,9236.0
87,21.75,752.0,19.799999237060547,1.2143274545669556,4357.0
88,9.63,644.0,17.5,6.405332088470459,3228.0
89,10.18,688.0,17.100000381469727,6.480762958526611,2582.0
90,26.27,386.0,17.600000381469727,-0.0304524078965187,2724.0
93,28.52,599.0,12.399999618530272,0.9887797832489014,3481.0
94,24.47,337.0,11.899999618530272,-0.782105565071106,2381.0
95,13.25,805.0,20.0,5.972085952758789,4275.0
96,59.53,125.0,2.5,-0.0171330086886882,6389.0
98,36.45,86.0,11.199999809265137,-0.0126193007454276,3849.0
100,35.3,794.8247680664062,23.700000762939453,-0.0005665353382937,8065.0
101,89.64,153.0,3.200000047683716,0.0033465335145592,8620.0
104,10.92,61.0,6.800000190734863,0.0036612267140299,985.0
105,14.76,211.0,13.0,-0.0298080760985612,1508.0
108,30.81,54.0,3.5999999046325684,-0.0233630463480949,2684.0
110,27.81,279.6366577148437,6.5,-0.0226483475416898,4461.0
111,27.11,0.0,0.699999988079071,-0.0095882937312126,2612.0
112,30.81,0.0,0.699999988079071,-0.0233630463480949,2684.0
113,29.65,0.0,0.8999999761581421,-0.0155120315030217,2921.0
114,4.98,0.0,9.5,-0.0883161723613739,3979.0
116,26.02,273.3163146972656,6.699999809265137,-0.0003843345330096,3970.0
118,45.3,171.41629028320312,14.0,0.0,5598.0
119,88.67,527.0721435546875,10.899999618530272,0.0,12208.0
121,40.94,225.19862365722656,9.0,-0.0029305531643331,5295.0
122,51.27,362.1336975097656,6.699999809265137,-0.0136511046439409,6833.0
123,39.02,297.06512451171875,8.699999809265137,-0.034341100603342,6124.0
126,40.79,762.8264770507812,18.299999237060547,0.0,6921.0
127,43.69,277.0881042480469,10.199999809265137,-0.0061798756942152,5721.0
128,32.79,469.4947204589844,11.800000190734863,-0.0207324028015136,4885.0
129,53.97,252.93356323242188,9.399999618530272,0.0,7904.0
130,26.61,174.44729614257812,7.0,-0.0003757872618734,5142.0
131,46.58,227.71273803710935,8.300000190734863,-0.0002146881015505,6356.0
132,47.3,248.0,5.300000190734863,0.0059186229482293,8032.0
